name,response_code,result_count,response_code2,result_count2,analysis_runtime
TranNgocKhoa/play-framework-java-jooq-example,200,1,200,1,10.174913810000362
TunixR/HarmonyAPI,200,1,200,33,61.12040523799988
UKEIAM/de.uke.iam.parkinson_on_fhir,200,1,200,5,10.043108748999655
UniCodeProjects/AmusementParkDB,200,1,200,1,35.762199805998534
Unite-Organisation/Unite,200,1,200,22,60.56362396900113
VadymOselskyi/airlines-booking,200,1,200,8,15.318453645000773
VictorGalkevich/LinkScrapper,200,1,200,6,12.04519982400052
ViktoriaGub/Object-oriented-programming-systems,200,1,200,2,5.640725530000054
VladimirMorozov/orm-playground,200,1,200,3,12.53584595599932
VoroninEgor/TgBot-LinkTracker,200,1,200,3,12.742785325001025
Wani4ka/tcs-edu-task,200,1,200,4,10.187246553001389
WolfOfBad/TinkoffJavaCourse2024,200,1,200,3,11.861379691001275
YaroslavChetskiy/tinkoff_course_backend_part,200,1,200,8,8.77847066600043
Yer12/tastamat,200,1,200,11,10.257542699000624
YuliaKrav/WebContentUpdateService,200,1,200,3,6.659840058000555
Yuno-obsessed/jodrive,200,2,200,14,24.93624946000091
ZanottiMatteo/BGTransports,200,2,200,11,17.353167033999853
ZebdaYacine/demofx,200,2,200,1,15.288454747998912
ZsgsDesign/openvsx,200,1,200,5,15.511321717998726
ZwierzchowskiM/Client-Server,200,1,200,2,5.753550734998498
aabarmin/telegram-bots,200,1,200,3,8.842559699000049
aahlenst/jOOQ-mcve-json-quoting,200,6,200,7,8.98076018500069
aceton41k/java-test-framework,200,1,200,3,11.651357547998488
activej/activej,200,1,200,3,8.668640587999107
aerius/emission-service,200,3,200,3,82.53905126000063
agibalov/java-library-experiments,200,1,200,3,5.18266230700101
akozitsin-hh/hh-jooq-intro,200,1,200,2,6.114593807000347
aleckbb/tracking-bot,200,1,200,3,6.917111415999898
aleksseii/TradingOperations,200,1,200,4,13.626178181000796
alexxiuccia/TrackMe,200,1,200,9,11.283616259001064
alipay/container-auto-tune,200,1,200,6,111.320555960001
alpa011235/sandbox,200,1,200,1,10.450642036999852
altusea/wpg,200,1,200,1,3.467361723000068
alvin-qh/study-java,200,1,200,10,16.67144163699959
amalrajvinoth/jooq-optimistic-locking,200,1,200,2,5.898279924000235
anpol84/java-course-2024,200,1,200,5,8.1822637639998
anyamilichenko/soa,200,2,200,3,10.839506193999114
aplygen/j13n-saas,200,1,200,3,21.997815411001284
arhostcode/linktracker,200,1,200,3,6.695804652999868
arijit98/RestaurentManagementService,200,1,200,3,7.22888623200015
arnaudroger/SimpleFlatMapper,200,1,200,11,15.85463790799986
artemius39/java-backend-2024,200,1,200,5,5.8822334759988735
articles-simbirsoft/JOOQ-use-in-testing,200,1,200,2,14.198491817000104
artseroff/link-tracker,200,1,200,6,7.826020708000215
atolcd/sdis-remocra,200,3,200,80,462.3518956450007
atomfrede/javaland-2022-karate-workshop,200,1,200,2,12.58378151100078
auliardana/Java-orm-jooq,200,1,200,2,3.783458513998994
averbraeck/gamedata-common,200,1,200,1,39.25108597600047
averbraeck/housinggame-common,200,1,200,7,36.405669055000544
averbraeck/trustgame,200,1,200,3,32.04322744399906
averbraeck/trustgame-register,200,1,200,2,24.107567150998875
averbraeck/trustgame-scores,200,1,200,2,41.90439115399931
aws-observability/aws-otel-playground,200,1,200,1,4.90830446900145
aytdm/study,200,1,200,2,11.45122947100026
badgerwithagun/async-all-the-way-down,200,1,200,2,4.325565774999632
balazskrizsan/stackjudge_aws_java,200,1,200,2,4.858237917998849
beargiles/youtube-dojo,200,1,200,1,3.783876442001201
bennofs/wdumper,200,1,200,2,10.656134545000896
bharat-chaudhari-0302/spring-jooq-gradle-plugin,200,1,200,1,7.502350643999307
bifidok/TinkoffBackend,200,1,200,10,9.933323912999183
bigseized/TinkoffCourseJava2024,200,1,200,5,6.349634394999157
blueoceandevops/fleet-spring-boot,200,1,200,1,4.583435476999512
boogiespook/waltz-test,200,1,200,123,318.51783543999954
boomzin/dbservice,200,1,200,9,21.11092618500152
bootique-examples/bootique-jooq-examples,200,1,200,1,4.069787027001439
borjom1/cloud-nest,200,3,200,13,22.26308159899964
brianbcampbell/z_beast-product-catalog,200,1,200,1,14.194459916998312
brody-0125/The-Joy-Of-Java,200,1,200,2,5.426635089001138
bsi-software/ScoutJooq,200,2,200,38,52.95637765399988
btpka3/btpka3.github.com,200,2,200,3,233.4546164780004
buster/acmemusic,200,1,200,4,6.357180312999844
c00ler/transfer-service,200,1,200,4,9.254061957999511
cardano-foundation/cardano-rosetta-java,200,1,200,2,16.417642225000236
catsloveme/telegram-bot,200,1,200,2,9.481696647000717
chriswininger/ai-document-query-system,200,1,200,3,4.982714583999041
clearflask/clearflask,200,1,200,5,11.258239322998634
cn-src/snippets-java,200,1,200,4,9.285163040000043
coduction/famulex,200,1,200,5,47.77223669600062
constZhur/tinkoff-backend-course-2024,200,1,200,4,8.04401241999949
cooder-org/jooq-mate,200,1,200,2,28.335831673999564
corradomio/java_projects,200,1,200,1,26.92245599099988
crate/cratedb-examples,200,1,200,1,4.505212924001171
crick77/usrbilancio,200,1,200,15,56.323593496001195
crunchykillah/rest_api_springmvc,200,1,200,2,8.337758935000238
cyberpunkoff/tracktor,200,1,200,2,4.84535767899979
cycastic-cumberland/libmanage-backend,200,1,200,5,15.174538860999746
danmofo/fitness-tracker-app,200,1,200,11,13.305376726000759
dbist/cockroach-docker,200,2,200,2,8.428152906999458
deepakborania/revolut-backend-task,200,1,200,2,13.682295200998851
dehasi/ppp-of-ddd,200,1,200,5,7.618621732000975
derabbink/sws2,200,1,200,2,4.036995706999733
devstronomy/nasa-data-scraper,200,1,200,1,4.953951143999802
dianainya/platform-backend,200,1,200,12,17.864695160000338
diocorrea/imagewrapper,200,1,200,1,5.964219856999989
djma/play-stack,200,1,200,1,4.461525623999478
dndanoff/spring-boot-unit-integration-test-example,200,1,200,2,3.9956518500002858
dominikjaniga91/system-design-interview-projects,200,1,200,2,4.113809152000613
dreamPis/oauth,200,1,200,2,34.48644356600016
dzorbey/order-scheduling,200,1,200,5,7.277835726001285
easkarov/repo-caretaker,200,1,200,3,10.601433799998631
ebi-gene-expression-group/annotare2,200,1,200,1,8.740614247999474
eclipse-scout/scout.rt,200,1,200,11,15.715065974998652
eclipse/openvsx,200,1,200,8,20.41832664499998
ehrbase/migration-tool,200,2,200,18,60.298235319000014
ekgreen/star-boot,200,1,200,7,8.33032791199912
ekruptsov/jooq-retrofit-crud-poc,200,1,200,1,4.638469323001118
elwin013/todoapp-multitenancy,200,4,200,4,5.305681485000605
emapfff/Link-Tracker,200,1,200,6,8.719846427000448
ericdriggs/reportcard,200,1,200,3,38.137299641000936
eterny13/url-shortener,200,1,200,1,4.002407537000181
evagalyuta/services-city-discover,200,3,200,7,22.140964991000146
eziomou/library-backend,200,1,200,15,21.312106036999467
f-uni/Quizzy,200,1,200,5,8.497575978000896
fantj2016/springboot-integration,200,1,200,1,4.21551107599953
fasten-project/fasten,200,1,200,48,40.47184829700018
fatihcatalkaya/poker-tracker,200,1,200,2,9.161339229000077
fedemaleh/chess-challenge-java-1,200,1,200,3,6.26069977500083
filipegar/killbill-getnet,200,1,200,1,5.713942979999047
fishedee/Demo,200,2,200,9,5.6883063959994615
fuma-nama/U3-Server,200,1,200,2,22.83820823899987
gchq/stroom,200,17,200,18,98.22227222100082
gchq/stroom-auth,200,1,200,5,19.191708039999867
ge1up/healthy-calories_by_spring,200,1,200,6,19.71670065700164
gekoramy/uni.web,200,1,200,40,35.19409450100102
genenakagaki/ddd-sample,200,1,200,2,3.669154201999845
germinateplatform/gatekeeper-server,200,1,200,9,375.11334094300037
gilbertlim/jooq,200,1,200,3,26.735761272000673
giovene44/Cinemanager_Software_Engineering_project,200,1,200,8,18.920725238998784
glassbell/bp-keeper,200,1,200,1,3.729692143999273
glockyco/Teralizer,200,1,200,17,23.652560725999138
gmoon92/toy,200,2,200,5,7.240332415998637
gonzo1138/jOOQinSpring-basics,200,1,200,2,4.753399458999411
gourmetgate/gourmetgate,200,1,200,11,11.127145763999579
graphql-java/graphql-java-db-example,200,1,200,1,6.6211164760006795
h8/gradle-jooq-example,200,1,200,2,4.758409460999246
hashgraph/hedera-hcs-erc721-sample,200,1,200,10,11.514099944999543
haumacher/wizard-game,200,1,200,1,11.89698884900099
hevan/agri-cloud,200,1,200,30,69.0857360580012
hiddenswitch/Spellsource,200,3,200,1,120.32020030100102
hieplp/recipe-platform,200,3,200,8,11.541620076997788
hieplp/vinorsoft-hometest,200,1,200,4,10.078357483002037
highloadmipt/expensewriter,200,1,200,1,6.160431391999737
hpple/revolut-backend-test,200,1,200,5,5.263433321000775
huruiyi/books-source,200,2,200,17,14.52676845699898
hyt-sasaki/SpringBootMicroServiceTutorial,200,1,200,2,4.716117964999285
icefery/demo.icefery.xyz,200,1,200,1,5.25529238099989
itboy87/quarkus-ext-jooq,200,1,200,3,7.309833397997863
iyunbo/stackoverflow,200,1,200,1,4.942802130000928
jOOQ/demo,200,2,200,12,37.955644817000575
jOOQ/jOOQ-mcve,200,8,200,7,8.846073759999854
jackbergus/java_logicalconsistency,200,2,200,6,21.352610243000527
jasondlee/quarkus-dev-service-full-example,200,1,200,3,3.579917284001567
jasontran320/texera_compose,200,2,200,2,19.803511922000325
jefberpe/restful-demo,200,1,200,2,5.067876864999562
jehugaleahsa/javalin-mvc-starter,200,1,200,1,7.205263103998732
jiangtj-lab/jooq-and-flyway,200,1,200,1,6.188995779000834
jiangtj/jc-platform,200,2,200,5,15.018102866997651
jiangtj/jmicro,200,1,200,4,12.735948285000632
jkingster/Tickster,200,1,200,2,11.753968365999754
jklingsporn/vertx-jooq,200,20,200,4,85.37993056399864
jmingu/petcrown-backend,200,1,200,17,42.631454809998104
joaoseidel/MussCraft,200,1,200,2,9.80787183999928
joostvdg/cmg-analytics,200,1,200,1,8.43364023200047
jordanamr/Divarena-old,200,1,200,1,10.841122156001802
jsflzhong/cjSpringboot-demo,200,1,200,1,12.686510422001447
juanhaugaard/H2-sakila,200,1,200,5,15.822582598000736
jubicoy/easymapper,200,1,200,1,11.325936012999591
justhecool/SmallWorlds-Forever,200,10,200,13,135.31153255199752
justmasyan/vkhomeworks,200,3,200,9,11.238250031998177
k0patych1/java-course-2023-s2,200,1,200,4,4.9416422649992455
k55k32/learn-jooq,200,11,200,12,58.546649452000565
kaeru61/chat_app,200,1,200,3,10.305220672998985
kamarkaka/app-updater,200,1,200,3,7.1295161669986555
kamil-sita/labelle,200,1,200,31,26.478569250000874
kanki6315/racing-analysis,200,1,200,13,21.31023332499899
kappsegla/databaseprojects,200,1,200,1,7.68888420499934
keeleinstituut/ekilex,200,4,200,39,179.7799184430005
kehuka11/graphql_sample,200,1,200,4,12.286551986999257
khanactl/mcorpus,200,1,200,3,13.93557883199901
khanhduy-14/pro-todolist-java,200,1,200,6,5.923657488998288
killbill/killbill-stripe-plugin,200,1,200,1,8.995820041000115
kkaravitis/pricing-api,200,1,200,2,7.79154891700091
kmaximk/Link-tracker-bot,200,1,200,4,6.959620782003185
kozakto/ContactManager,200,1,200,1,4.196752924002794
krivonosovti/LinktrackerLast,200,1,200,3,5.356561283999326
krupnoveo/Link-Tracker,200,1,200,4,5.044539553000504
kryakobess/TinkoffBackendCourse,200,1,200,2,6.8879844280018006
ksamorodov/SpringAuth,200,1,200,1,4.422580359998392
ksamorodov/corset,200,2,200,1,4.291559301000234
kushtrimh/tomorr,200,1,200,7,8.860301128002902
labinochka/semester-work-agona,200,1,200,2,6.099912693000078
lahraye/farm-collector-task,200,1,200,1,5.566234360001545
lamarios/mmath,200,1,200,1,17.636984557000687
lelup24/blog,200,2,200,2,13.157915873001912
lelup24/spring-boot-websocket,200,1,200,1,14.628590346997953
leoiii12/csci3170-project,200,1,200,4,12.26666281299913
leoleelwl/springboot_jooq_flyway,200,1,200,1,6.961180387999775
lesam19092/Tinkoff_first_project,200,1,200,2,7.425850693998655
letPeace/VK-homework-6,200,1,200,3,8.347032350000518
lightningdevkit/vss-server,200,1,200,3,4.104692831999273
