name,response_code,result_count,response_code2,result_count2
atolcd/sdis-remocra,200,3,200,80
atomfrede/javaland-2022-karate-workshop,200,1,200,2
auliardana/Java-orm-jooq,200,1,200,2
averbraeck/gamedata-common,200,1,200,1
averbraeck/housinggame-common,200,1,200,7
averbraeck/trustgame,200,1,200,3
averbraeck/trustgame-register,200,1,200,2
averbraeck/trustgame-scores,200,1,200,2
aws-observability/aws-otel-playground,200,1,200,1
aytdm/study,200,1,200,2
badgerwithagun/async-all-the-way-down,200,1,200,2
balazskrizsan/stackjudge_aws_java,200,1,200,2
beargiles/youtube-dojo,200,1,200,1
bennofs/wdumper,200,1,200,2
bharat-chaudhari-0302/spring-jooq-gradle-plugin,200,1,200,1
bifidok/TinkoffBackend,200,1,200,10
bigseized/TinkoffCourseJava2024,200,1,200,5
blueoceandevops/fleet-spring-boot,200,1,200,1
boogiespook/waltz-test,200,1,200,123
boomzin/dbservice,200,1,200,9
bootique-examples/bootique-jooq-examples,200,1,200,1
borjom1/cloud-nest,200,3,200,13
brianbcampbell/z_beast-product-catalog,200,1,200,1
brody-0125/The-Joy-Of-Java,200,1,200,2
bsi-software/ScoutJooq,200,2,200,38
btpka3/btpka3.github.com,200,2,200,3
buster/acmemusic,200,1,200,4
c00ler/transfer-service,200,1,200,4
cardano-foundation/cardano-rosetta-java,200,1,200,2
catsloveme/telegram-bot,200,1,200,2
chriswininger/ai-document-query-system,200,1,200,3
clearflask/clearflask,200,1,200,5
cn-src/snippets-java,200,1,200,4
coduction/famulex,200,1,200,5
constZhur/tinkoff-backend-course-2024,200,1,200,4
cooder-org/jooq-mate,200,1,200,2
corradomio/java_projects,200,1,200,1
crate/cratedb-examples,200,1,200,1
crick77/usrbilancio,200,1,200,15
crunchykillah/rest_api_springmvc,200,1,200,2
cyberpunkoff/tracktor,200,1,200,2
cycastic-cumberland/libmanage-backend,200,1,200,5
danmofo/fitness-tracker-app,200,1,200,11
dbist/cockroach-docker,200,2,200,2
deepakborania/revolut-backend-task,200,1,200,2
dehasi/ppp-of-ddd,200,1,200,5
derabbink/sws2,200,1,200,2
devstronomy/nasa-data-scraper,200,1,200,1
dianainya/platform-backend,200,1,200,12
diocorrea/imagewrapper,200,1,200,1
djma/play-stack,200,1,200,1
dndanoff/spring-boot-unit-integration-test-example,200,1,200,2
dominikjaniga91/system-design-interview-projects,200,1,200,2
dreamPis/oauth,200,1,200,2
dzorbey/order-scheduling,200,1,200,5
easkarov/repo-caretaker,200,1,200,3
ebi-gene-expression-group/annotare2,200,1,200,1
eclipse-scout/scout.rt,200,1,200,11
eclipse/openvsx,200,1,200,8
ehrbase/migration-tool,200,2,200,18
ekgreen/star-boot,200,1,200,7
ekruptsov/jooq-retrofit-crud-poc,200,1,200,1
elwin013/todoapp-multitenancy,200,4,200,4
emapfff/Link-Tracker,200,1,200,6
ericdriggs/reportcard,200,1,200,3
eterny13/url-shortener,200,1,200,1
evagalyuta/services-city-discover,200,3,200,7
eziomou/library-backend,200,1,200,15
f-uni/Quizzy,200,1,200,5
fantj2016/springboot-integration,200,1,200,1
fasten-project/fasten,200,1,200,48
fatihcatalkaya/poker-tracker,200,1,200,2
fedemaleh/chess-challenge-java-1,200,1,200,3
filipegar/killbill-getnet,200,1,200,1
fishedee/Demo,200,2,200,9
fuma-nama/U3-Server,200,1,200,2
gchq/stroom,200,17,200,18
gchq/stroom-auth,200,1,200,5
ge1up/healthy-calories_by_spring,200,1,200,6
gekoramy/uni.web,200,1,200,40
genenakagaki/ddd-sample,200,1,200,2
germinateplatform/gatekeeper-server,200,1,200,9
gilbertlim/jooq,200,1,200,3
giovene44/Cinemanager_Software_Engineering_project,200,1,200,8
glassbell/bp-keeper,200,1,200,1
glockyco/Teralizer,200,1,200,17
gmoon92/toy,200,2,200,5
gonzo1138/jOOQinSpring-basics,200,1,200,2
gourmetgate/gourmetgate,200,1,200,11
graphql-java/graphql-java-db-example,200,1,200,1
h8/gradle-jooq-example,200,1,200,2
hashgraph/hedera-hcs-erc721-sample,200,1,200,10
haumacher/wizard-game,200,1,200,1
hevan/agri-cloud,200,1,200,30
hiddenswitch/Spellsource,200,3,200,1
hieplp/recipe-platform,200,3,200,8
hieplp/vinorsoft-hometest,200,1,200,4
highloadmipt/expensewriter,200,1,200,1
hpple/revolut-backend-test,200,1,200,5
huruiyi/books-source,200,2,200,17
hyt-sasaki/SpringBootMicroServiceTutorial,200,1,200,2
icefery/demo.icefery.xyz,200,1,200,1
itboy87/quarkus-ext-jooq,200,1,200,3
iyunbo/stackoverflow,200,1,200,1
jOOQ/demo,200,2,200,12
jOOQ/jOOQ-mcve,200,8,200,7
jackbergus/java_logicalconsistency,200,2,200,6
jasondlee/quarkus-dev-service-full-example,200,1,200,3
jasontran320/texera_compose,200,2,200,2
jefberpe/restful-demo,200,1,200,2
jehugaleahsa/javalin-mvc-starter,200,1,200,1
jiangtj-lab/jooq-and-flyway,200,1,200,1
jiangtj/jc-platform,200,2,200,5
jiangtj/jmicro,200,1,200,4
jkingster/Tickster,200,1,200,2
jklingsporn/vertx-jooq,200,20,200,4
jmingu/petcrown-backend,200,1,200,17
joaoseidel/MussCraft,200,1,200,2
joostvdg/cmg-analytics,200,1,200,1
jordanamr/Divarena-old,200,1,200,1
jsflzhong/cjSpringboot-demo,200,1,200,1
juanhaugaard/H2-sakila,200,1,200,5
jubicoy/easymapper,200,1,200,1
justhecool/SmallWorlds-Forever,200,10,200,13
justmasyan/vkhomeworks,200,3,200,9
k0patych1/java-course-2023-s2,200,1,200,4
k55k32/learn-jooq,200,11,200,12
kaeru61/chat_app,200,1,200,3
kamarkaka/app-updater,200,1,200,3
kamil-sita/labelle,200,1,200,31
kanki6315/racing-analysis,200,1,200,13
kappsegla/databaseprojects,200,1,200,1
keeleinstituut/ekilex,200,4,200,39
kehuka11/graphql_sample,200,1,200,4
khanactl/mcorpus,200,1,200,3
khanhduy-14/pro-todolist-java,200,1,200,6
killbill/killbill-stripe-plugin,200,1,200,1
kkaravitis/pricing-api,200,1,200,2
kmaximk/Link-tracker-bot,200,1,200,4
kozakto/ContactManager,200,1,200,1
krivonosovti/LinktrackerLast,200,1,200,3
krupnoveo/Link-Tracker,200,1,200,4
kryakobess/TinkoffBackendCourse,200,1,200,2
ksamorodov/SpringAuth,200,1,200,1
ksamorodov/corset,200,2,200,1
kushtrimh/tomorr,200,1,200,7
labinochka/semester-work-agona,200,1,200,2
lahraye/farm-collector-task,200,1,200,1
lamarios/mmath,200,1,200,1
lelup24/blog,200,2,200,2
lelup24/spring-boot-websocket,200,1,200,1
leoiii12/csci3170-project,200,1,200,4
leoleelwl/springboot_jooq_flyway,200,1,200,1
lesam19092/Tinkoff_first_project,200,1,200,2
letPeace/VK-homework-6,200,1,200,3
lightningdevkit/vss-server,200,1,200,3
liljarn/tinkoffCourseJava2024,200,1,200,3
lin-mt/spring-boot,200,1,200,1
linux-china/jooq-demo,200,1,200,4
liuyueyi/spring-boot-demo,200,3,200,7
liuzheming/merchant-feecal-mvp,200,1,200,8
ljk0071/side-project-back,200,2,200,12
lsfoster64/gymhelper,200,1,200,1
lsn03/java-2023-backend-second-semester,200,1,200,6
lwbeamer/tinkoff-course,200,1,200,4
lzbkln/java-course-tinkoff-spring-2024,200,1,200,9
lzj09/sw-jooq,200,1,200,1
magicswissweed/MagicSwissWeed2.0,200,1,200,10
makeitfine-org/mif,200,1,200,3
maksmolchdmitr/tinkoffLinkUpdater,200,1,200,3
marcato10/manaca-framework,200,1,200,1
marijarin/tin_back_hws,200,1,200,2
marlind89/kensa,200,1,200,4
martynovvladislav/tinkoff-java-backend-course-2024,200,1,200,3
matco/hotspot-api,200,1,200,10
matuolis/financial-analysis-be,200,1,200,7
matuolis/vehicle-marketplace-be,200,1,200,8
maximister/LinkTrackerBot,200,1,200,3
mbto/eatlog,200,1,200,10
mbto/funnyranks,200,2,200,17
mehdikeshani/MyFasten,200,1,200,49
merlimmateus/vidsummize,200,1,200,1
metaloom/loom,200,1,200,28
migibert/embro,200,1,200,5
miguelperezcolom/mateu-article-2,200,2,200,13
mikerasch/dal,200,1,200,1
mingtiangg/LTG,200,1,200,17
mini-crm/mini-crm,200,2,200,8
mistresssfilth/HM8,200,1,200,2
mochegov/rock-paper-scissors,200,1,200,4
modlix-india/nocode-saas,200,7,200,10
mullerhai/mysql-modeldb,200,1,200,60
murl-digital/squier,200,2,200,2
mwilkins91/mythology-v2,200,1,200,2
my1exp/YC_Pay,200,5,200,3
mytakedotorg/mtdo,200,1,200,21
nameishari/money-transfer-service,200,1,200,4
navikt/veilarblest,200,1,200,3
neptunejing/SkillUp-Ecom-Plat,200,7,200,8
nianien/jooq-tutorial,200,2,200,4
nianien/katana,200,1,200,3
nikguscode/HackathonMax,200,1,200,6
nikolay-klekto/FunScrutContactCenterBot,200,2,200,10
niranjankhare/SeleniumPageModeller,200,1,200,2
